"Bivalirudin";"OIRCOABEOLEUMC-GEJPAHFPSA-N";"Prothrombin";"F2";"yes";"inhibitor"
"Octreotide";"DEQANNDTNATYII-OULOTJBUSA-N";"Somatostatin receptor type 2";"SSTR2";"yes";"binder"
"Abarelix";"AIWRTTMUVOZGPW-HSPKUQOVSA-N";"Gonadotropin-releasing hormone receptor";"GNRHR";"yes";"antagonist"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Alanine--glyoxylate aminotransferase 2, mitochondrial";"AGXT2";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Glutamate decarboxylase 1";"GAD1";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Cystathionine beta-synthase";"CBS";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Kynureninase";"KYNU";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Serine hydroxymethyltransferase, cytosolic";"SHMT1";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Cysteine desulfurase, mitochondrial";"NFS1";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Aspartate aminotransferase, cytoplasmic";"GOT1";"unknown";"activator"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Ornithine aminotransferase, mitochondrial";"OAT";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Ornithine decarboxylase";"ODC1";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial";"AADAT";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"4-aminobutyrate aminotransferase, mitochondrial";"ABAT";"unknown";"inhibitor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Pyridoxine-5'-phosphate oxidase";"PNPO";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Sphingosine-1-phosphate lyase 1";"SGPL1";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Tyrosine aminotransferase";"TAT";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Kynurenine--oxoglutarate transaminase 1";"CCBL1";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Threonine synthase-like 1";"THNSL1";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Glycogen phosphorylase, liver form";"PYGL";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Serine palmitoyltransferase 2";"SPTLC2";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Cysteine sulfinic acid decarboxylase";"CSAD";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Histidine decarboxylase";"HDC";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Arginine decarboxylase";"AZIN2";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"L-serine dehydratase/L-threonine deaminase";"SDS";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial";"GCAT";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Glycine dehydrogenase [decarboxylating], mitochondrial";"GLDC";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Alanine aminotransferase 1";"GPT";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Phosphoserine aminotransferase";"PSAT1";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"5-aminolevulinate synthase, nonspecific, mitochondrial";"ALAS1";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Serine--pyruvate aminotransferase";"AGXT";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Pyridoxal phosphate phosphatase";"PDXP";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Serine palmitoyltransferase 1";"SPTLC1";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Cystathionine gamma-lyase";"CTH";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Branched-chain-amino-acid aminotransferase, cytosolic";"BCAT1";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Branched-chain-amino-acid aminotransferase, mitochondrial";"BCAT2";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Proline synthase co-transcribed bacterial homolog protein";"PROSC";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Formimidoyltransferase-cyclodeaminase";"FTCD";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Aspartate aminotransferase, mitochondrial";"GOT2";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Glycogen phosphorylase, brain form";"PYGB";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Glycogen phosphorylase, muscle form";"PYGM";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Aromatic-L-amino-acid decarboxylase";"DDC";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Aspartate aminotransferase";"GIG18";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"GAD1 protein";"GAD1";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Serine hydroxymethyltransferase";"";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Selenocysteine lyase variant";"";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Phosphorylase";"";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Ornithine aminotransferase variant";"";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"5-aminolevulinate synthase";"ALAS1";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Glutamate decarboxylase 2 (Pancreatic islets and brain, 65kDa)";"GAD2";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"DDC protein";"DDC";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Pyridoxal-dependent decarboxylase domain-containing protein 1";"PDXDC1";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Kynurenine--oxoglutarate transaminase 3";"CCBL2";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Glutamate decarboxylase-like protein 1";"GADL1";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Selenocysteine lyase";"SCLY";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Immunoglobulin superfamily member 10";"IGSF10";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"5-phosphohydroxy-L-lysine phospho-lyase";"PHYKPL";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Glutamate decarboxylase 1 (Brain, 67kDa)";"GAD1";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Serine hydroxymethyltransferase, mitochondrial";"SHMT2";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"5-aminolevulinate synthase, erythroid-specific, mitochondrial";"ALAS2";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Alanine aminotransferase 2";"GPT2";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Molybdenum cofactor sulfurase";"MOCOS";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Serine dehydratase-like";"SDSL";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"P-selectin cytoplasmic tail-associated protein (PCAP)";"pcap";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Hepatic peroxysomal alanine:glyoxylate aminotransferase";"";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Serine racemase";"SRR";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"O-phosphoseryl-tRNA(Sec) selenium transferase";"SEPSECS";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Serine palmitoyltransferase 3";"SPTLC3";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Glutamic acid decarboxylase";"GAD65";"unknown";"cofactor"
"Pyridoxal Phosphate";"NGVDGCNFYWLIFO-UHFFFAOYSA-N";"Alanine-glyoxylate aminotransferase homolog";"TLH6";"unknown";"cofactor"
"Cyanocobalamin";"RMRCNWBMXRMIRW-WZHZPDAFSA-L";"Methionine synthase";"MTR";"yes";"cofactor"
"Cyanocobalamin";"RMRCNWBMXRMIRW-WZHZPDAFSA-L";"Methionine synthase";"MTR";"yes";"cofactor"
"Cyanocobalamin";"RMRCNWBMXRMIRW-WZHZPDAFSA-L";"Methionine synthase";"MTR";"yes";"cofactor"
"Cyanocobalamin";"RMRCNWBMXRMIRW-WZHZPDAFSA-L";"Methylmalonyl-CoA mutase, mitochondrial";"MUT";"yes";"cofactor"
"Cyanocobalamin";"RMRCNWBMXRMIRW-WZHZPDAFSA-L";"Methylmalonyl-CoA mutase, mitochondrial";"MUT";"yes";"cofactor"
"Cyanocobalamin";"RMRCNWBMXRMIRW-WZHZPDAFSA-L";"Methylmalonyl-CoA mutase, mitochondrial";"MUT";"yes";"cofactor"
"Cyanocobalamin";"RMRCNWBMXRMIRW-WZHZPDAFSA-L";"Methionine synthase reductase";"MTRR";"unknown";"cofactor"
"Cyanocobalamin";"RMRCNWBMXRMIRW-WZHZPDAFSA-L";"Methionine synthase reductase";"MTRR";"unknown";"cofactor"
"Cyanocobalamin";"RMRCNWBMXRMIRW-WZHZPDAFSA-L";"Methionine synthase reductase";"MTRR";"unknown";"cofactor"
"Cyanocobalamin";"RMRCNWBMXRMIRW-WZHZPDAFSA-L";"Methylmalonic aciduria type A protein, mitochondrial";"MMAA";"unknown";"cofactor"
"Cyanocobalamin";"RMRCNWBMXRMIRW-WZHZPDAFSA-L";"Methylmalonic aciduria type A protein, mitochondrial";"MMAA";"unknown";"cofactor"
"Cyanocobalamin";"RMRCNWBMXRMIRW-WZHZPDAFSA-L";"Methylmalonic aciduria type A protein, mitochondrial";"MMAA";"unknown";"cofactor"
"Cyanocobalamin";"RMRCNWBMXRMIRW-WZHZPDAFSA-L";"Methylmalonic aciduria and homocystinuria type C protein";"MMACHC";"unknown";"cofactor"
"Cyanocobalamin";"RMRCNWBMXRMIRW-WZHZPDAFSA-L";"Methylmalonic aciduria and homocystinuria type C protein";"MMACHC";"unknown";"cofactor"
"Cyanocobalamin";"RMRCNWBMXRMIRW-WZHZPDAFSA-L";"Methylmalonic aciduria and homocystinuria type C protein";"MMACHC";"unknown";"cofactor"
"Cyanocobalamin";"RMRCNWBMXRMIRW-WZHZPDAFSA-L";"Methylenetetrahydrofolate reductase";"MTHFR";"unknown";"cofactor"
"Cyanocobalamin";"RMRCNWBMXRMIRW-WZHZPDAFSA-L";"Methylenetetrahydrofolate reductase";"MTHFR";"unknown";"cofactor"
"Cyanocobalamin";"RMRCNWBMXRMIRW-WZHZPDAFSA-L";"Methylenetetrahydrofolate reductase";"MTHFR";"unknown";"cofactor"
"Ademetionine";"MEFKEPWMEQBLKI-AIRLBKTGSA-N";"Glycine N-methyltransferase";"GNMT";"unknown";"cofactor"
"Ademetionine";"MEFKEPWMEQBLKI-AIRLBKTGSA-N";"S-adenosylmethionine decarboxylase proenzyme";"AMD1";"unknown";"cofactor"
"Ademetionine";"MEFKEPWMEQBLKI-AIRLBKTGSA-N";"S-adenosylmethionine synthase isoform type-2";"MAT2A";"unknown";"cofactor"
"Ademetionine";"MEFKEPWMEQBLKI-AIRLBKTGSA-N";"Cystathionine beta-synthase";"CBS";"unknown";"activator"
"Ademetionine";"MEFKEPWMEQBLKI-AIRLBKTGSA-N";"S-adenosylmethionine synthase isoform type-1";"MAT1A";"unknown";"cofactor"
"Ademetionine";"MEFKEPWMEQBLKI-AIRLBKTGSA-N";"Catechol O-methyltransferase";"COMT";"unknown";"cofactor"
"Ademetionine";"MEFKEPWMEQBLKI-AIRLBKTGSA-N";"Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1";"CMTR1";"unknown";""
"Ademetionine";"MEFKEPWMEQBLKI-AIRLBKTGSA-N";"Arsenite methyltransferase";"AS3MT";"unknown";""
"Biotin";"YBJHBAHKTGYVGT-ZKWXMUAHSA-N";"Propionyl-CoA carboxylase beta chain, mitochondrial";"PCCB";"unknown";""
"Biotin";"YBJHBAHKTGYVGT-ZKWXMUAHSA-N";"Biotin--protein ligase";"HLCS";"unknown";""
"Biotin";"YBJHBAHKTGYVGT-ZKWXMUAHSA-N";"Sodium-dependent multivitamin transporter";"SLC5A6";"unknown";""
"Biotin";"YBJHBAHKTGYVGT-ZKWXMUAHSA-N";"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial";"MCCC2";"unknown";""
"Biotin";"YBJHBAHKTGYVGT-ZKWXMUAHSA-N";"Acetyl-CoA carboxylase 2";"ACACB";"unknown";""
"Biotin";"YBJHBAHKTGYVGT-ZKWXMUAHSA-N";"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial";"MCCC1";"unknown";""
"Biotin";"YBJHBAHKTGYVGT-ZKWXMUAHSA-N";"Pyruvate carboxylase, mitochondrial";"PC";"unknown";""
"Biotin";"YBJHBAHKTGYVGT-ZKWXMUAHSA-N";"Propionyl-CoA carboxylase alpha chain, mitochondrial";"PCCA";"unknown";""
"Biotin";"YBJHBAHKTGYVGT-ZKWXMUAHSA-N";"Acetyl-CoA carboxylase 1";"ACACA";"unknown";""
"Choline";"OEYIOHPDSNJKLS-UHFFFAOYSA-N";"Choline-phosphate cytidylyltransferase B";"PCYT1B";"unknown";"product of"
"Choline";"OEYIOHPDSNJKLS-UHFFFAOYSA-N";"Acetylcholinesterase";"ACHE";"unknown";"product of"
"Choline";"OEYIOHPDSNJKLS-UHFFFAOYSA-N";"Choline-phosphate cytidylyltransferase A";"PCYT1A";"unknown";"product of"
"Choline";"OEYIOHPDSNJKLS-UHFFFAOYSA-N";"Phospholipase D2";"PLD2";"unknown";"product of"
"Choline";"OEYIOHPDSNJKLS-UHFFFAOYSA-N";"Cholinesterase";"BCHE";"unknown";"product of"
"Choline";"OEYIOHPDSNJKLS-UHFFFAOYSA-N";"Phospholipase D1";"PLD1";"unknown";"product of"
"Choline";"OEYIOHPDSNJKLS-UHFFFAOYSA-N";"Phosphoethanolamine/phosphocholine phosphatase";"PHOSPHO1";"unknown";"product of"
"Choline";"OEYIOHPDSNJKLS-UHFFFAOYSA-N";"Neuronal acetylcholine receptor subunit alpha-7";"CHRNA7";"unknown";""
"L-Lysine";"KDXKERNSBIXSRK-YFKPBYRVSA-N";"High affinity cationic amino acid transporter 1";"SLC7A1";"unknown";""
"L-Lysine";"KDXKERNSBIXSRK-YFKPBYRVSA-N";"Cationic amino acid transporter 4";"SLC7A4";"unknown";""
"L-Lysine";"KDXKERNSBIXSRK-YFKPBYRVSA-N";"Cationic amino acid transporter 3";"SLC7A3";"unknown";""
"L-Lysine";"KDXKERNSBIXSRK-YFKPBYRVSA-N";"Low affinity cationic amino acid transporter 2";"SLC7A2";"unknown";""
"L-Lysine";"KDXKERNSBIXSRK-YFKPBYRVSA-N";"Lysine--tRNA ligase";"KARS";"unknown";""
"L-Arginine";"ODKSFYDXXFIFQN-BYPYZUCNSA-N";"Nitric oxide synthase, endothelial";"NOS3";"unknown";""
"L-Arginine";"ODKSFYDXXFIFQN-BYPYZUCNSA-N";"Cationic amino acid transporter 3";"SLC7A3";"unknown";""
"L-Arginine";"ODKSFYDXXFIFQN-BYPYZUCNSA-N";"Arginine decarboxylase";"AZIN2";"unknown";""
"L-Arginine";"ODKSFYDXXFIFQN-BYPYZUCNSA-N";"Argininosuccinate lyase";"ASL";"unknown";""
"L-Arginine";"ODKSFYDXXFIFQN-BYPYZUCNSA-N";"Nitric oxide synthase, inducible";"NOS2";"unknown";""
"L-Arginine";"ODKSFYDXXFIFQN-BYPYZUCNSA-N";"High affinity cationic amino acid transporter 1";"SLC7A1";"unknown";""
"L-Arginine";"ODKSFYDXXFIFQN-BYPYZUCNSA-N";"Arginase-2, mitochondrial";"ARG2";"unknown";""
"L-Arginine";"ODKSFYDXXFIFQN-BYPYZUCNSA-N";"Cationic amino acid transporter 4";"SLC7A4";"unknown";""
"L-Arginine";"ODKSFYDXXFIFQN-BYPYZUCNSA-N";"Argininosuccinate synthase";"ASS1";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Lactase-phlorizin hydrolase";"LCT";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Lactase-phlorizin hydrolase";"LCT";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Lactase-phlorizin hydrolase";"LCT";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Lactase-phlorizin hydrolase";"LCT";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Hyaluronate lyase";"";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Hyaluronate lyase";"";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Hyaluronate lyase";"";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Hyaluronate lyase";"";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Xylose isomerase";"xylA";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Xylose isomerase";"xylA";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Xylose isomerase";"xylA";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Xylose isomerase";"xylA";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2";"PLOD2";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2";"PLOD2";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2";"PLOD2";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2";"PLOD2";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Phytanoyl-CoA dioxygenase, peroxisomal";"PHYH";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Phytanoyl-CoA dioxygenase, peroxisomal";"PHYH";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Phytanoyl-CoA dioxygenase, peroxisomal";"PHYH";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Phytanoyl-CoA dioxygenase, peroxisomal";"PHYH";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3";"PLOD3";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3";"PLOD3";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3";"PLOD3";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3";"PLOD3";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Gamma-butyrobetaine dioxygenase";"BBOX1";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Gamma-butyrobetaine dioxygenase";"BBOX1";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Gamma-butyrobetaine dioxygenase";"BBOX1";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Gamma-butyrobetaine dioxygenase";"BBOX1";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Dopamine beta-hydroxylase";"DBH";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Dopamine beta-hydroxylase";"DBH";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Dopamine beta-hydroxylase";"DBH";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Dopamine beta-hydroxylase";"DBH";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Peptidyl-glycine alpha-amidating monooxygenase";"PAM";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Peptidyl-glycine alpha-amidating monooxygenase";"PAM";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Peptidyl-glycine alpha-amidating monooxygenase";"PAM";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Peptidyl-glycine alpha-amidating monooxygenase";"PAM";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Prolyl 4-hydroxylase subunit alpha-1";"P4HA1";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Prolyl 4-hydroxylase subunit alpha-1";"P4HA1";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Prolyl 4-hydroxylase subunit alpha-1";"P4HA1";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Prolyl 4-hydroxylase subunit alpha-1";"P4HA1";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Prolyl 3-hydroxylase 1";"P3H1";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Prolyl 3-hydroxylase 1";"P3H1";"unknown";""
"Vitamin C";"CIWBSHSKHKDKBQ-JLAZNSOCSA-N";"Prolyl 3-hydroxylase 1";"P3H1";"unknown";""
