Common name,DrugBank ID,chembl_id
Pyridoxal,DB00147,CHEMBL102970
Creatine,DB00148,CHEMBL283800
L-Leucine,DB00149,CHEMBL291962
L-Tryptophan,DB00150,CHEMBL54976
L-Cysteine,DB00151,CHEMBL863
Thiamine,DB00152,CHEMBL1547
Ergocalciferol,DB00153,CHEMBL1536
Dihomo-gamma-linolenic acid,DB00154,CHEMBL465183
L-Citrulline,DB00155,CHEMBL444814
L-Threonine,DB00156,CHEMBL291747
NADH,DB00157,NA
Folic Acid,DB00158,CHEMBL1622
Icosapent,DB00159,CHEMBL460026
L-Alanine,DB00160,CHEMBL279597
L-Valine,DB00161,CHEMBL43068
Vitamin A,DB00162,CHEMBL986
Vitamin E,DB00163,CHEMBL47
Pyridoxine,DB00165,CHEMBL1364
Lipoic Acid,DB00166,CHEMBL134342
L-Isoleucine,DB00167,CHEMBL1233584
Aspartame,DB00168,CHEMBL171679
Cholecalciferol,DB00169,CHEMBL1042
Menadione,DB00170,CHEMBL590
ATP,DB00171,CHEMBL14249
L-Proline,DB00172,CHEMBL54922
Adenine,DB00173,CHEMBL226345
L-Asparagine,DB00174,CHEMBL58832
Pravastatin,DB00175,CHEMBL1144
Fluvoxamine,DB00176,CHEMBL814
Valsartan,DB00177,CHEMBL1069
Ramipril,DB00178,CHEMBL1168
Masoprocol,DB00179,CHEMBL313972
Flunisolide,DB00180,CHEMBL1512
Baclofen,DB00181,CHEMBL701
Amphetamine,DB00182,CHEMBL405
Pentagastrin,DB00183,CHEMBL1328
Nicotine,DB00184,CHEMBL3
Cevimeline,DB00185,NA
Lorazepam,DB00186,CHEMBL580
Esmolol,DB00187,CHEMBL768
Bortezomib,DB00188,CHEMBL325041
Ethchlorvynol,DB00189,CHEMBL591
Carbidopa,DB00190,CHEMBL1201236
Phentermine,DB00191,CHEMBL1574
Indecainide,DB00192,CHEMBL1201242
Tramadol,DB00193,CHEMBL1066
Vidarabine,DB00194,CHEMBL1090
Betaxolol,DB00195,CHEMBL423
Fluconazole,DB00196,CHEMBL106
Troglitazone,DB00197,CHEMBL408
Oseltamivir,DB00198,CHEMBL1229
Erythromycin,DB00199,CHEMBL532
Hydroxocobalamin,DB00200,NA
Caffeine,DB00201,CHEMBL113
Succinylcholine,DB00202,CHEMBL703
Sildenafil,DB00203,CHEMBL192
Dofetilide,DB00204,CHEMBL473
Pyrimethamine,DB00205,CHEMBL36
Reserpine,DB00206,CHEMBL772
Azithromycin,DB00207,CHEMBL529
Ticlopidine,DB00208,CHEMBL833
Trospium,DB00209,CHEMBL1888176
Adapalene,DB00210,CHEMBL1265
Midodrine,DB00211,CHEMBL1201212
Remikiren,DB00212,CHEMBL31601
Pantoprazole,DB00213,CHEMBL1502
Torasemide,DB00214,CHEMBL1148
Citalopram,DB00215,CHEMBL549
Eletriptan,DB00216,CHEMBL1510
Bethanidine,DB00217,CHEMBL1201260
Moxifloxacin,DB00218,CHEMBL32
Oxyphenonium,DB00219,CHEMBL1201286
Nelfinavir,DB00220,CHEMBL584
Isoetarine,DB00221,CHEMBL1201213
Glimepiride,DB00222,CHEMBL1481
Diflorasone,DB00223,CHEMBL1201380
Indinavir,DB00224,CHEMBL115
Gadodiamide,DB00225,NA
Guanadrel,DB00226,CHEMBL1037
Lovastatin,DB00227,CHEMBL503
Enflurane,DB00228,CHEMBL1257
Cefotiam,DB00229,CHEMBL1296
Pregabalin,DB00230,CHEMBL1059
Temazepam,DB00231,CHEMBL967
Methyclothiazide,DB00232,CHEMBL1577
Aminosalicylic Acid,DB00233,CHEMBL1169
Reboxetine,DB00234,CHEMBL383921
Milrinone,DB00235,CHEMBL189
Pipobroman,DB00236,CHEMBL1585
Butabarbital,DB00237,CHEMBL449
Nevirapine,DB00238,CHEMBL57
Oxiconazole,DB00239,CHEMBL1262
Alclometasone,DB00240,CHEMBL1201361
Butalbital,DB00241,CHEMBL454
Cladribine,DB00242,CHEMBL1619
Ranolazine,DB00243,CHEMBL1404
Mesalazine,DB00244,CHEMBL704
Benzatropine,DB00245,CHEMBL1201203
Ziprasidone,DB00246,CHEMBL708
Methysergide,DB00247,CHEMBL485253
Cabergoline,DB00248,CHEMBL1201087
Idoxuridine,DB00249,CHEMBL788
Dapsone,DB00250,CHEMBL1043
Terconazole,DB00251,CHEMBL1306
Phenytoin,DB00252,CHEMBL16
Medrysone,DB00253,CHEMBL1201173
Doxycycline,DB00254,CHEMBL1433
Diethylstilbestrol,DB00255,CHEMBL411
Lymecycline,DB00256,CHEMBL2103929
Clotrimazole,DB00257,CHEMBL104
Calcium Acetate,DB00258,CHEMBL1200800
Sulfanilamide,DB00259,CHEMBL21
Cycloserine,DB00260,CHEMBL771
Anagrelide,DB00261,CHEMBL760
Carmustine,DB00262,CHEMBL513
Sulfisoxazole,DB00263,CHEMBL453
Metoprolol,DB00264,CHEMBL13
Crotamiton,DB00265,CHEMBL1200709
Dicoumarol,DB00266,CHEMBL1466
Cefmenoxime,DB00267,CHEMBL1201224
Ropinirole,DB00268,CHEMBL589
Chlorotrianisene,DB00269,CHEMBL1200761
Isradipine,DB00270,CHEMBL1648
Diatrizoate,DB00271,CHEMBL1201220
Betazole,DB00272,CHEMBL1201323
Topiramate,DB00273,CHEMBL220492
Cefmetazole,DB00274,CHEMBL1201195
Olmesartan,DB00275,CHEMBL1516
Amsacrine,DB00276,CHEMBL43
Theophylline,DB00277,CHEMBL190
Argatroban,DB00278,CHEMBL59461
Liothyronine,DB00279,CHEMBL1544
Disopyramide,DB00280,CHEMBL517
Lidocaine,DB00281,CHEMBL79
Pamidronate,DB00282,CHEMBL834
Clemastine,DB00283,CHEMBL1626
Acarbose,DB00284,NA
Venlafaxine,DB00285,CHEMBL637
Conjugated estrogens,DB00286,NA
Travoprost,DB00287,CHEMBL1200799
Amcinonide,DB00288,CHEMBL1200732
Atomoxetine,DB00289,CHEMBL641
Bleomycin,DB00290,NA
Chlorambucil,DB00291,CHEMBL515
Etomidate,DB00292,CHEMBL681
Raltitrexed,DB00293,CHEMBL225071
Etonogestrel,DB00294,CHEMBL1531
Morphine,DB00295,CHEMBL70
Ropivacaine,DB00296,CHEMBL1077896
Bupivacaine,DB00297,CHEMBL1098
Dapiprazole,DB00298,CHEMBL1201216
Penciclovir,DB00299,CHEMBL1540
Tenofovir disoproxil,DB00300,CHEMBL1538
Flucloxacillin,DB00301,CHEMBL222645
Tranexamic Acid,DB00302,CHEMBL877
Ertapenem,DB00303,CHEMBL1359
Desogestrel,DB00304,CHEMBL1533
Mitomycin,DB00305,CHEMBL105
Talbutal,DB00306,CHEMBL1200802
Bexarotene,DB00307,CHEMBL1023
Ibutilide,DB00308,CHEMBL533
Vindesine,DB00309,CHEMBL219146
Chlorthalidone,DB00310,CHEMBL1055
Ethoxzolamide,DB00311,CHEMBL18
Pentobarbital,DB00312,CHEMBL448
Valproic Acid,DB00313,CHEMBL109
Capreomycin,DB00314,NA
Zolmitriptan,DB00315,CHEMBL1185
Acetaminophen,DB00316,CHEMBL112
Gefitinib,DB00317,CHEMBL939
Codeine,DB00318,CHEMBL485
Piperacillin,DB00319,CHEMBL702
Dihydroergotamine,DB00320,CHEMBL1732
Amitriptyline,DB00321,CHEMBL629
Floxuridine,DB00322,CHEMBL917
Tolcapone,DB00323,CHEMBL1324
Fluorometholone,DB00324,CHEMBL1200600
Nitroprusside,DB00325,NA
Calcium Gluceptate,DB00326,CHEMBL1237066
Hydromorphone,DB00327,CHEMBL398707
Indomethacin,DB00328,CHEMBL6
Ethambutol,DB00330,CHEMBL44884
Metformin,DB00331,CHEMBL1431
Ipratropium bromide,DB00332,NA
Methadone,DB00333,CHEMBL651
Olanzapine,DB00334,CHEMBL715
Atenolol,DB00335,CHEMBL24
Nitrofural,DB00336,CHEMBL869
Pimecrolimus,DB00337,CHEMBL1200686
Omeprazole,DB00338,CHEMBL1503
Pyrazinamide,DB00339,CHEMBL614
Metixene,DB00340,CHEMBL1201342
Cetirizine,DB00341,CHEMBL1000
Terfenadine,DB00342,CHEMBL17157
Diltiazem,DB00343,CHEMBL23
Protriptyline,DB00344,CHEMBL668
Aminohippuric acid,DB00345,CHEMBL463
Alfuzosin,DB00346,CHEMBL709
Trimethadione,DB00347,CHEMBL695
Nitisinone,DB00348,CHEMBL1337
Clobazam,DB00349,CHEMBL70418
Minoxidil,DB00350,CHEMBL802
Megestrol acetate,DB00351,CHEMBL1201139
Tioguanine,DB00352,CHEMBL727
Methylergometrine,DB00353,CHEMBL1201356
Buclizine,DB00354,CHEMBL1201271
Aztreonam,DB00355,CHEMBL158
Chlorzoxazone,DB00356,CHEMBL1371
Aminoglutethimide,DB00357,CHEMBL488
Mefloquine,DB00358,CHEMBL416956
Sulfadiazine,DB00359,CHEMBL439
Sapropterin,DB00360,CHEMBL1201774
Vinorelbine,DB00361,CHEMBL553025
Anidulafungin,DB00362,CHEMBL264241
Clozapine,DB00363,CHEMBL42
Sucralfate,DB00364,NA
Grepafloxacin,DB00365,CHEMBL583
Doxylamine,DB00366,CHEMBL1004
Levonorgestrel,DB00367,CHEMBL1389
Norepinephrine,DB00368,CHEMBL1437
Cidofovir,DB00369,CHEMBL152
Mirtazapine,DB00370,CHEMBL654
Meprobamate,DB00371,CHEMBL979
Thiethylperazine,DB00372,CHEMBL1378
Timolol,DB00373,CHEMBL499
Treprostinil,DB00374,CHEMBL1237119
Colestipol,DB00375,NA
Trihexyphenidyl,DB00376,CHEMBL1490
Palonosetron,DB00377,CHEMBL1189679
Dydrogesterone,DB00378,CHEMBL1200853
Mexiletine,DB00379,CHEMBL558
Dexrazoxane,DB00380,CHEMBL1738
Amlodipine,DB00381,CHEMBL1491
Tacrine,DB00382,CHEMBL95
Oxyphencyclimine,DB00383,CHEMBL1495
Triamterene,DB00384,CHEMBL585
Valrubicin,DB00385,CHEMBL1096885
Procyclidine,DB00387,CHEMBL86715
Phenylephrine,DB00388,CHEMBL1215
Carbimazole,DB00389,CHEMBL508102
Digoxin,DB00390,CHEMBL1751
Sulpiride,DB00391,CHEMBL26
Ethopropazine,DB00392,CHEMBL1206
Nimodipine,DB00393,CHEMBL1428
Beclomethasone dipropionate,DB00394,CHEMBL1200500
Carisoprodol,DB00395,CHEMBL1233
Progesterone,DB00396,CHEMBL103
Phenylpropanolamine,DB00397,CHEMBL2092846
Sorafenib,DB00398,CHEMBL1336
Zoledronic acid,DB00399,CHEMBL924
Griseofulvin,DB00400,CHEMBL562
Nisoldipine,DB00401,CHEMBL1726
Eszopiclone,DB00402,CHEMBL1522
Ceruletide,DB00403,CHEMBL1201355
Alprazolam,DB00404,CHEMBL661
Dexbrompheniramine,DB00405,CHEMBL1201287
Gentian Violet,DB00406,CHEMBL459265
Ardeparin,DB00407,NA
Loxapine,DB00408,CHEMBL831
Remoxipride,DB00409,CHEMBL22242
Mupirocin,DB00410,CHEMBL719
Carbachol,DB00411,CHEMBL14
Rosiglitazone,DB00412,CHEMBL121
Pramipexole,DB00413,CHEMBL301265
Acetohexamide,DB00414,CHEMBL1589
Ampicillin,DB00415,CHEMBL174
Metocurine Iodide,DB00416,CHEMBL1739
Phenoxymethylpenicillin,DB00417,CHEMBL615
Secobarbital,DB00418,CHEMBL447
Miglustat,DB00419,CHEMBL1029
Promazine,DB00420,CHEMBL564
Spironolactone,DB00421,CHEMBL1393
Methylphenidate,DB00422,CHEMBL796
Methocarbamol,DB00423,CHEMBL1201117
Hyoscyamine,DB00424,CHEMBL1331216
Zolpidem,DB00425,CHEMBL911
Famciclovir,DB00426,CHEMBL880
Triprolidine,DB00427,CHEMBL855
Streptozocin,DB00428,CHEMBL1603
Carboprost Tromethamine,DB00429,NA
Cefpiramide,DB00430,CHEMBL1201204
Lindane,DB00431,CHEMBL15891
Trifluridine,DB00432,CHEMBL1129
Prochlorperazine,DB00433,CHEMBL728
Cyproheptadine,DB00434,CHEMBL516
Nitric Oxide,DB00435,CHEMBL1200689
Bendroflumethiazide,DB00436,CHEMBL1684
Allopurinol,DB00437,CHEMBL1467
Ceftazidime,DB00438,CHEMBL44354
Cerivastatin,DB00439,CHEMBL1477
Trimethoprim,DB00440,CHEMBL22
Gemcitabine,DB00441,CHEMBL888
Entecavir,DB00442,CHEMBL713
Betamethasone,DB00443,CHEMBL632
Teniposide,DB00444,CHEMBL452231
Epirubicin,DB00445,CHEMBL417
Chloramphenicol,DB00446,CHEMBL130
Loracarbef,DB00447,CHEMBL1013
Lansoprazole,DB00448,CHEMBL480
Dipivefrin,DB00449,CHEMBL1201262
Droperidol,DB00450,CHEMBL1108
Levothyroxine,DB00451,CHEMBL1624
Framycetin,DB00452,CHEMBL184618
Clomocycline,DB00453,CHEMBL2106071
Pethidine,DB00454,CHEMBL607
Loratadine,DB00455,CHEMBL998
Cefalotin,DB00456,CHEMBL617
Prazosin,DB00457,CHEMBL2
Imipramine,DB00458,CHEMBL11
Acitretin,DB00459,CHEMBL1131
Verteporfin,DB00460,CHEMBL2052016
Nabumetone,DB00461,CHEMBL1070
Methylscopolamine bromide,DB00462,NA
Metharbital,DB00463,CHEMBL450
Sodium Tetradecyl Sulfate,DB00464,CHEMBL1200354
Ketorolac,DB00465,CHEMBL469
Picrotoxin,DB00466,NA
Enoxacin,DB00467,CHEMBL826
Quinine,DB00468,CHEMBL170
Tenoxicam,DB00469,CHEMBL302795
Dronabinol,DB00470,CHEMBL465
Montelukast,DB00471,CHEMBL787
Fluoxetine,DB00472,CHEMBL41
Hexylcaine,DB00473,CHEMBL1197
Methohexital,DB00474,CHEMBL7413
Chlordiazepoxide,DB00475,CHEMBL451
Duloxetine,DB00476,CHEMBL1175
Chlorpromazine,DB00477,CHEMBL71
Rimantadine,DB00478,CHEMBL959
Amikacin,DB00479,CHEMBL177
Lenalidomide,DB00480,CHEMBL848
Raloxifene,DB00481,CHEMBL81
Celecoxib,DB00482,CHEMBL118
Gallamine Triethiodide,DB00483,CHEMBL1200993
Brimonidine,DB00484,CHEMBL844
Dicloxacillin,DB00485,CHEMBL893
Nabilone,DB00486,CHEMBL947
Pefloxacin,DB00487,CHEMBL267648
Altretamine,DB00488,CHEMBL1455
Sotalol,DB00489,CHEMBL471
Buspirone,DB00490,CHEMBL49
Miglitol,DB00491,CHEMBL1561
Fosinopril,DB00492,CHEMBL3039598
Cefotaxime,DB00493,CHEMBL1730
Entacapone,DB00494,CHEMBL953
Zidovudine,DB00495,CHEMBL129
Darifenacin,DB00496,CHEMBL1346
Oxycodone,DB00497,CHEMBL656
Phenindione,DB00498,CHEMBL711
Flutamide,DB00499,CHEMBL806
Tolmetin,DB00500,CHEMBL1020
Cimetidine,DB00501,CHEMBL30
Haloperidol,DB00502,CHEMBL54
Ritonavir,DB00503,CHEMBL163
Levallorphan,DB00504,CHEMBL1254682
Tridihexethyl,DB00505,CHEMBL1201354
Nitazoxanide,DB00507,CHEMBL1401
Triflupromazine,DB00508,CHEMBL570
Dextrothyroxine,DB00509,CHEMBL559
Acetyldigitoxin,DB00511,CHEMBL3545057
Vancomycin,DB00512,CHEMBL262777
Aminocaproic Acid,DB00513,CHEMBL1046
Dextromethorphan,DB00514,CHEMBL52440
Cisplatin,DB00515,NA
Bentoquatam,DB00516,NA
Anisotropine Methylbromide,DB00517,NA
Albendazole,DB00518,CHEMBL1483
Trandolapril,DB00519,CHEMBL1519
Caspofungin,DB00520,CHEMBL499808
Carteolol,DB00521,CHEMBL839
Bentiromide,DB00522,CHEMBL1200368
Alitretinoin,DB00523,CHEMBL705
Metolazone,DB00524,CHEMBL878
Tolnaftate,DB00525,CHEMBL83668
Oxaliplatin,DB00526,NA
Cinchocaine,DB00527,CHEMBL1086
Lercanidipine,DB00528,CHEMBL250270
Foscarnet,DB00529,CHEMBL666
Erlotinib,DB00530,CHEMBL553
Cyclophosphamide,DB00531,CHEMBL88
Mephenytoin,DB00532,CHEMBL861
Rofecoxib,DB00533,CHEMBL122
Chlormerodrin,DB00534,NA
Cefdinir,DB00535,CHEMBL927
Guanidine,DB00536,CHEMBL821
Ciprofloxacin,DB00537,CHEMBL8
Gadoversetamide,DB00538,NA
Toremifene,DB00539,CHEMBL1655
Nortriptyline,DB00540,CHEMBL445
Vincristine,DB00541,CHEMBL90555
Benazepril,DB00542,CHEMBL838
Amoxapine,DB00543,CHEMBL1113
Fluorouracil,DB00544,CHEMBL185
Pyridostigmine,DB00545,CHEMBL1115
Adinazolam,DB00546,CHEMBL328250
Desoximetasone,DB00547,CHEMBL1766
Azelaic Acid,DB00548,CHEMBL1238
Zafirlukast,DB00549,CHEMBL603
Propylthiouracil,DB00550,CHEMBL1518
Acetohydroxamic Acid,DB00551,CHEMBL734
Pentostatin,DB00552,CHEMBL1580
Methoxsalen,DB00553,CHEMBL416
Piroxicam,DB00554,CHEMBL527
Lamotrigine,DB00555,CHEMBL741
Perflutren,DB00556,CHEMBL1663
Hydroxyzine,DB00557,CHEMBL896
Zanamivir,DB00558,CHEMBL222813
Bosentan,DB00559,CHEMBL957
Tigecycline,DB00560,CHEMBL376140
Doxapram,DB00561,CHEMBL1754
Benzthiazide,DB00562,CHEMBL1201039
Methotrexate,DB00563,CHEMBL34259
Carbamazepine,DB00564,CHEMBL108
Cisatracurium besylate,DB00565,CHEMBL1200641
Succimer,DB00566,CHEMBL1201073
Cephalexin,DB00567,CHEMBL1727
Cinnarizine,DB00568,CHEMBL43064
Fondaparinux sodium,DB00569,NA
Vinblastine,DB00570,CHEMBL159
Propranolol,DB00571,CHEMBL27
Atropine,DB00572,CHEMBL517712
Fenoprofen,DB00573,CHEMBL1297
Fenfluramine,DB00574,CHEMBL87493
Clonidine,DB00575,CHEMBL134
Sulfamethizole,DB00576,CHEMBL1191
Valaciclovir,DB00577,CHEMBL1349
Carbenicillin,DB00578,CHEMBL1214
Mazindol,DB00579,CHEMBL781
Valdecoxib,DB00580,CHEMBL865
Lactulose,DB00581,CHEMBL296306
Voriconazole,DB00582,CHEMBL638
L-Carnitine,DB00583,CHEMBL1149
Enalapril,DB00584,CHEMBL578
Nizatidine,DB00585,CHEMBL3183075
Diclofenac,DB00586,CHEMBL139
Cinalukast,DB00587,CHEMBL283754
Fluticasone propionate,DB00588,CHEMBL1473
Lisuride,DB00589,CHEMBL157138
Doxazosin,DB00590,CHEMBL707
Fluocinolone Acetonide,DB00591,CHEMBL989
Piperazine,DB00592,CHEMBL1412
Ethosuximide,DB00593,CHEMBL696
Amiloride,DB00594,CHEMBL945
Oxytetracycline,DB00595,CHEMBL1517
Ulobetasol,DB00596,CHEMBL1201360
Gadoteridol,DB00597,NA
Labetalol,DB00598,CHEMBL429
Thiopental,DB00599,CHEMBL441
Monobenzone,DB00600,CHEMBL1388
Linezolid,DB00601,CHEMBL126
Ivermectin,DB00602,NA
Medroxyprogesterone acetate,DB00603,CHEMBL717
Cisapride,DB00604,CHEMBL560739
Sulindac,DB00605,CHEMBL15770
Cyclothiazide,DB00606,CHEMBL61593
Nafcillin,DB00607,CHEMBL1443
Chloroquine,DB00608,CHEMBL76
Ethionamide,DB00609,CHEMBL1441
Metaraminol,DB00610,CHEMBL1201319
Butorphanol,DB00611,CHEMBL33986
Bisoprolol,DB00612,CHEMBL645
Amodiaquine,DB00613,CHEMBL682
Furazolidone,DB00614,CHEMBL1103
Rifabutin,DB00615,CHEMBL444633
Candoxatril,DB00616,CHEMBL35084
Paramethadione,DB00617,CHEMBL1100
Demeclocycline,DB00618,CHEMBL1591
Imatinib,DB00619,CHEMBL941
Triamcinolone,DB00620,CHEMBL1451
Oxandrolone,DB00621,CHEMBL1200436
Nicardipine,DB00622,CHEMBL1484
Fluphenazine,DB00623,CHEMBL726
Testosterone,DB00624,CHEMBL386630
Efavirenz,DB00625,CHEMBL223228
Bacitracin,DB00626,CHEMBL1200558
Niacin,DB00627,CHEMBL573
Clorazepate,DB00628,CHEMBL1213252
Guanabenz,DB00629,CHEMBL420
Alendronic acid,DB00630,CHEMBL870
Clofarabine,DB00631,CHEMBL1750
Docosanol,DB00632,CHEMBL1200453
Dexmedetomidine,DB00633,CHEMBL778
Sulfacetamide,DB00634,CHEMBL455
Prednisone,DB00635,CHEMBL635
Clofibrate,DB00636,CHEMBL565
Astemizole,DB00637,CHEMBL296419
Inulin,DB00638,NA
Butoconazole,DB00639,CHEMBL1295
Adenosine,DB00640,CHEMBL477
Simvastatin,DB00641,CHEMBL1064
Pemetrexed,DB00642,CHEMBL225072
Mebendazole,DB00643,CHEMBL685
Gonadorelin,DB00644,CHEMBL1981292
Dyclonine,DB00645,CHEMBL1201217
Nystatin,DB00646,NA
Dextropropoxyphene,DB00647,CHEMBL1213351
Mitotane,DB00648,CHEMBL1670
Stavudine,DB00649,CHEMBL991
Leucovorin,DB00650,CHEMBL1679
Dyphylline,DB00651,CHEMBL1752
Pentazocine,DB00652,CHEMBL560
Magnesium sulfate,DB00653,CHEMBL2021423
Latanoprost,DB00654,CHEMBL1051
Estrone,DB00655,CHEMBL1405
Trazodone,DB00656,CHEMBL621
Mecamylamine,DB00657,CHEMBL267936
Sevelamer,DB00658,CHEMBL1201798
Acamprosate,DB00659,CHEMBL1201293
Metaxalone,DB00660,CHEMBL1079604
Verapamil,DB00661,CHEMBL6966
Trimethobenzamide,DB00662,CHEMBL1201256
Flumethasone,DB00663,CHEMBL1201392
Sulfametopyrazine,DB00664,CHEMBL1525826
Nilutamide,DB00665,CHEMBL1274
Nafarelin,DB00666,NA
Epinephrine,DB00668,CHEMBL679
Sumatriptan,DB00669,CHEMBL128
Pirenzepine,DB00670,CHEMBL9967
Cefixime,DB00671,CHEMBL1541
Chlorpropamide,DB00672,CHEMBL498
Aprepitant,DB00673,CHEMBL1471
Galantamine,DB00674,CHEMBL659
Tamoxifen,DB00675,CHEMBL83
Benzyl Benzoate,DB00676,CHEMBL1239
Isoflurophate,DB00677,CHEMBL1025
Losartan,DB00678,CHEMBL191
Thioridazine,DB00679,CHEMBL479
Moricizine,DB00680,CHEMBL1075
Amphotericin B,DB00681,CHEMBL267345
Warfarin,DB00682,CHEMBL1464
Midazolam,DB00683,CHEMBL655
Tobramycin,DB00684,CHEMBL1747
Trovafloxacin,DB00685,CHEMBL428
Pentosan Polysulfate,DB00686,NA
Fludrocortisone,DB00687,CHEMBL1201388
Mycophenolate mofetil,DB00688,CHEMBL1456
Cephaloglycin,DB00689,CHEMBL1200971
Flurazepam,DB00690,CHEMBL968
Moexipril,DB00691,CHEMBL1165
Phentolamine,DB00692,CHEMBL597
Fluorescein,DB00693,CHEMBL1057
Daunorubicin,DB00694,CHEMBL178
Furosemide,DB00695,CHEMBL35
Ergotamine,DB00696,CHEMBL442
